STUDY SITE	AREA	TRANSECT NUMBER	TRANSECT LENGTH KM	ANGLE	DISTANCE (METRES)	CLUSTER SIZE
MARGERY HILL	25	24	4.71	80	7	1
MARGERY HILL	25	24	4.71	40	73	2
MARGERY HILL	25	24	4.71	70	3	1
MARGERY HILL	25	24	4.71	0	213	2
MARGERY HILL	25	24	4.71	10	256	1
MARGERY HILL	25	24	4.71	0	2	1
MARGERY HILL	25	24	4.71	45	4	1
MARGERY HILL	25	25	4.93	40	96	1
MARGERY HILL	25	25	4.93	20	494	6
MARGERY HILL	25	25	4.93	90	315	1
MARGERY HILL	25	25	4.93	80	98	1
MARGERY HILL	25	25	4.93	50	445	6
MARGERY HILL	25	25	4.93	20	92	1
MARGERY HILL	25	25	4.93	0	5	1
MARGERY HILL	25	25	4.93	70	27	3
MARGERY HILL	25	25	4.93	0	5	1
MARGERY HILL	25	25	4.93	10	15	3
MARGERY HILL	25	25	4.93	20	10	1
MARGERY HILL	25	25	4.93	90	400	1
MARGERY HILL	25	25	4.93	0	465	1
MARGERY HILL	25	25	4.93	80	419	1
MARGERY HILL	25	25	4.93	50	45	1
MARGERY HILL	25	25	4.93	80	110	1
MARGERY HILL	25	25	4.93	70	432	3
MARGERY HILL	25	25	4.93	90	3	1
MARGERY HILL	25	25	4.93	0	92	1
MARGERY HILL	25	25	4.93	0	92	1
MARGERY HILL	25	25	4.93	50	84	1
MARGERY HILL	25	25	4.93	50	68	2
MARGERY HILL	25	25	4.93	30	100	1
MARGERY HILL	25	25	4.93	20	187	1
MARGERY HILL	25	25	4.93	0	1	1
MARGERY HILL	25	25	4.93	90	45	1
MARGERY HILL	25	25	4.93	70	88	1
MARGERY HILL	25	25	4.93	70	49	1
MARGERY HILL	25	25	4.93	80	99	1
MARGERY HILL	25	25	4.93	70	187	3
MARGERY HILL	25	26	4.38			
